Puzzle,Strategy,Average Time (ms),Variance Time (ms),Average Steps,Variance Steps
p1-two-blocks,fpr,22967.495679855347,10962706.953458708,226.5,830.75
p1-two-blocks,bottleneck,53419.4709777832,1059192.2191202547,272.4,227.03999999999996
p2-maze-easy,fpr,15494.520664215088,709943441.0500283,207.0,3236.0
p2-maze-easy,bottleneck,5941.9286251068115,59915376.9234697,184.4,133.84
p5-wall-easy,fpr,747.5432872772217,62259.3358033191,260.4,127.03999999999999
p5-wall-easy,bottleneck,518.2718276977539,40305.46543891887,271.6,299.84000000000003
p6-wall,fpr,178689.10419940948,83725265.7665738,416.5,12.25
p6-wall,bottleneck,58468.45495700836,2403690198.106965,438.0,647.5
p8-corner,fpr,5721.940994262695,867959.993210411,184.8,249.36000000000004
p8-corner,bottleneck,8815.819025039673,124572.58775980335,191.4,25.04
p9-cube-free,fpr,286.98015213012695,20506.518146544295,143.8,10.159999999999997
p9-cube-free,bottleneck,389.0337944030762,68718.73618929384,140.4,5.039999999999999
